,Store,Weekday,Date,People,Open/Close,Promotions of the store,Holiday_of_the_city,Holiday_Of_Educational_Institute,CompetitionDist,CompetitionOpen
2819,590,3,29-07-2015,400,Open,Yes,No Holiday,No,4520.0,2010.75
2820,591,3,29-07-2015,513,Open,Yes,No Holiday,No,3340.0,2008.58333333
2821,592,3,29-07-2015,516,Open,Yes,No Holiday,Yes,2540.0,2005.5
2822,593,3,29-07-2015,1186,Open,Yes,No Holiday,Yes,33060.0,2010.25
2823,594,3,29-07-2015,495,Open,Yes,No Holiday,Yes,1790.0,2011.83333333
2824,595,3,29-07-2015,1592,Open,Yes,No Holiday,Yes,1130.0,2015.5
2825,596,3,29-07-2015,779,Open,Yes,No Holiday,Yes,290.0,2006.75
2826,597,3,29-07-2015,793,Open,Yes,No Holiday,Yes,150.0,2008.75
2827,598,3,29-07-2015,710,Open,Yes,No Holiday,No,550.0,2014.0
2828,599,3,29-07-2015,714,Open,Yes,No Holiday,Yes,580.0,2014.91666667
2829,600,3,29-07-2015,623,Open,Yes,No Holiday,Yes,17340.0,2010.5
2830,601,3,29-07-2015,358,Open,Yes,No Holiday,Yes,8220.0,2014.33333333
2831,602,3,29-07-2015,612,Open,Yes,No Holiday,Yes,2710.0,2001.58333333
2832,603,3,29-07-2015,1043,Open,Yes,No Holiday,No,340.0,2007.33333333
2833,604,3,29-07-2015,554,Open,Yes,No Holiday,No,10950.0,2014.25
2834,605,3,29-07-2015,540,Open,Yes,No Holiday,No,10310.0,2003.33333333
2835,606,3,29-07-2015,643,Open,Yes,No Holiday,Yes,2260.0,2007.91666667
2836,607,3,29-07-2015,437,Open,Yes,No Holiday,Yes,350.0,1999.66666667
2837,608,3,29-07-2015,1059,Open,Yes,No Holiday,Yes,18370.0,2013.16666667
2838,609,3,29-07-2015,485,Open,Yes,No Holiday,Yes,2070.0,2007.75
2839,610,3,29-07-2015,527,Open,Yes,No Holiday,Yes,660.0,2007.08333333
2840,611,3,29-07-2015,507,Open,Yes,No Holiday,No,8080.0,2003.0
2841,612,3,29-07-2015,417,Open,Yes,No Holiday,No,2490.0,2012.91666667
2842,613,3,29-07-2015,917,Open,Yes,No Holiday,Yes,250.0,2007.5
2843,614,3,29-07-2015,1047,Open,Yes,No Holiday,Yes,1160.0,2013.0
2844,615,3,29-07-2015,1242,Open,Yes,No Holiday,Yes,730.0,2007.66666667
2845,616,3,29-07-2015,699,Open,Yes,No Holiday,Yes,3040.0,2011.66666667
2846,617,3,29-07-2015,636,Open,Yes,No Holiday,Yes,8940.0,2008.58333333
2847,618,3,29-07-2015,502,Open,Yes,No Holiday,Yes,9910.0,2008.58333333
2848,619,3,29-07-2015,481,Open,Yes,No Holiday,No,1600.0,2006.5
2849,620,3,29-07-2015,767,Open,Yes,No Holiday,No,5440.0,2008.58333333
2850,621,3,29-07-2015,765,Open,Yes,No Holiday,Yes,30.0,2002.58333333
2851,622,3,29-07-2015,468,Open,Yes,No Holiday,Yes,,2008.58333333
2852,623,3,29-07-2015,798,Open,Yes,No Holiday,Yes,4080.0,2011.25
2853,624,3,29-07-2015,579,Open,Yes,No Holiday,Yes,6920.0,2011.75
2854,625,3,29-07-2015,623,Open,Yes,No Holiday,Yes,1170.0,2011.33333333
2855,626,3,29-07-2015,793,Open,Yes,No Holiday,Yes,10740.0,2013.91666667
2856,627,3,29-07-2015,676,Open,Yes,No Holiday,Yes,3970.0,2010.25
2857,628,3,29-07-2015,731,Open,Yes,No Holiday,Yes,2180.0,2008.58333333
2858,629,3,29-07-2015,555,Open,Yes,No Holiday,No,510.0,2014.58333333
2859,630,3,29-07-2015,780,Open,Yes,No Holiday,Yes,1690.0,2015.33333333
2860,631,3,29-07-2015,605,Open,Yes,No Holiday,Yes,2870.0,2008.58333333
2861,632,3,29-07-2015,919,Open,Yes,No Holiday,Yes,3350.0,2010.16666667
2862,633,3,29-07-2015,524,Open,Yes,No Holiday,No,11640.0,2005.33333333
2863,634,3,29-07-2015,673,Open,Yes,No Holiday,Yes,18610.0,2008.58333333
2864,635,3,29-07-2015,627,Open,Yes,No Holiday,Yes,27530.0,2014.33333333
2865,636,3,29-07-2015,899,Open,Yes,No Holiday,No,720.0,2004.83333333
2866,637,3,29-07-2015,782,Open,Yes,No Holiday,No,9790.0,2008.58333333
2867,638,3,29-07-2015,494,Open,Yes,No Holiday,No,10170.0,2001.91666667
2868,639,3,29-07-2015,488,Open,Yes,No Holiday,Yes,7780.0,2006.91666667
2869,640,3,29-07-2015,716,Open,Yes,No Holiday,Yes,8040.0,2008.58333333
2870,641,3,29-07-2015,461,Open,Yes,No Holiday,Yes,610.0,2004.0
2871,642,3,29-07-2015,468,Open,Yes,No Holiday,Yes,530.0,2005.33333333
2872,643,3,29-07-2015,825,Open,Yes,No Holiday,Yes,230.0,2010.5
2873,644,3,29-07-2015,1038,Open,Yes,No Holiday,No,4030.0,2005.0
2874,645,3,29-07-2015,1443,Open,Yes,No Holiday,No,90.0,2008.58333333
2875,646,3,29-07-2015,732,Open,Yes,No Holiday,No,620.0,2014.75
2876,647,3,29-07-2015,614,Open,Yes,No Holiday,Yes,7420.0,2013.33333333
2877,648,3,29-07-2015,538,Open,Yes,No Holiday,Yes,2130.0,2009.0
2878,649,3,29-07-2015,350,Open,Yes,No Holiday,Yes,14570.0,2002.91666667
2879,650,3,29-07-2015,647,Open,Yes,No Holiday,No,1420.0,2012.83333333
2880,651,3,29-07-2015,877,Open,Yes,No Holiday,Yes,200.0,2008.58333333
2881,652,3,29-07-2015,664,Open,Yes,No Holiday,Yes,20390.0,2008.58333333
2882,653,3,29-07-2015,453,Open,Yes,No Holiday,Yes,7520.0,2014.58333333
2883,654,3,29-07-2015,735,Open,Yes,No Holiday,Yes,6930.0,2006.75
2884,655,3,29-07-2015,731,Open,Yes,No Holiday,Yes,960.0,2012.91666667
2885,656,3,29-07-2015,361,Open,Yes,No Holiday,Yes,410.0,2009.33333333
2886,657,3,29-07-2015,662,Open,Yes,No Holiday,Yes,80.0,2006.08333333
2887,658,3,29-07-2015,588,Open,Yes,No Holiday,Yes,520.0,2008.58333333
2888,659,3,29-07-2015,703,Open,Yes,No Holiday,Yes,1590.0,2012.25
2889,660,3,29-07-2015,553,Open,Yes,No Holiday,No,1200.0,2006.91666667
2890,661,3,29-07-2015,524,Open,Yes,No Holiday,Yes,2140.0,2013.58333333
2891,662,3,29-07-2015,675,Open,Yes,No Holiday,Yes,1070.0,2008.58333333
2892,663,3,29-07-2015,796,Open,Yes,No Holiday,No,7860.0,2005.41666667
2893,664,3,29-07-2015,601,Open,Yes,No Holiday,Yes,1680.0,2005.83333333
2894,665,3,29-07-2015,1304,Open,Yes,No Holiday,Yes,90.0,2013.0
2895,666,3,29-07-2015,721,Open,Yes,No Holiday,No,2700.0,2008.58333333
2896,667,3,29-07-2015,757,Open,Yes,No Holiday,Yes,2870.0,2012.75
2897,668,3,29-07-2015,1100,Open,Yes,No Holiday,Yes,1270.0,2010.75
2898,669,3,29-07-2015,461,Open,Yes,No Holiday,No,17080.0,2012.58333333
2899,670,3,29-07-2015,716,Open,Yes,No Holiday,No,2060.0,2008.58333333
2900,671,3,29-07-2015,737,Open,Yes,No Holiday,No,2070.0,2008.16666667
2901,672,3,29-07-2015,1302,Open,Yes,No Holiday,Yes,240.0,2002.75
2902,673,3,29-07-2015,673,Open,Yes,No Holiday,No,15170.0,2008.58333333
2903,674,3,29-07-2015,1033,Open,Yes,No Holiday,Yes,2640.0,2006.0
2904,675,3,29-07-2015,377,Open,Yes,No Holiday,Yes,2100.0,2013.66666667
2905,676,3,29-07-2015,1837,Open,Yes,No Holiday,Yes,1410.0,2008.75
2906,677,3,29-07-2015,574,Open,Yes,No Holiday,No,1740.0,2014.5
2907,678,3,29-07-2015,751,Open,Yes,No Holiday,Yes,3250.0,2008.58333333
2908,679,3,29-07-2015,1015,Open,Yes,No Holiday,Yes,4140.0,2012.75
2909,680,3,29-07-2015,854,Open,Yes,No Holiday,Yes,170.0,2008.58333333
2910,681,3,29-07-2015,569,Open,Yes,No Holiday,Yes,620.0,2008.58333333
2911,682,3,29-07-2015,1828,Open,Yes,No Holiday,Yes,150.0,2006.75
2912,683,3,29-07-2015,796,Open,Yes,No Holiday,Yes,2850.0,2014.58333333
2913,684,3,29-07-2015,748,Open,Yes,No Holiday,No,680.0,2008.58333333
2914,685,3,29-07-2015,586,Open,Yes,No Holiday,Yes,650.0,2013.91666667
2915,686,3,29-07-2015,757,Open,Yes,No Holiday,Yes,20050.0,2002.33333333
2916,687,3,29-07-2015,736,Open,Yes,No Holiday,Yes,2770.0,2008.58333333
2917,688,3,29-07-2015,367,Open,Yes,No Holiday,Yes,18760.0,2015.66666667
2918,689,3,29-07-2015,592,Open,Yes,No Holiday,Yes,15040.0,2004.83333333
2919,690,3,29-07-2015,787,Open,Yes,No Holiday,Yes,100.0,2008.58333333
2920,691,3,29-07-2015,514,Open,Yes,No Holiday,Yes,3030.0,2008.58333333
2921,692,3,29-07-2015,691,Open,Yes,No Holiday,Yes,40.0,2001.66666667
2922,693,3,29-07-2015,520,Open,Yes,No Holiday,Yes,450.0,2008.58333333
2923,694,3,29-07-2015,784,Open,Yes,No Holiday,No,460.0,2012.91666667
2924,695,3,29-07-2015,562,Open,Yes,No Holiday,Yes,550.0,2011.58333333
2925,696,3,29-07-2015,968,Open,Yes,No Holiday,Yes,430.0,2008.58333333
2926,697,3,29-07-2015,908,Open,Yes,No Holiday,Yes,3780.0,2008.58333333
2927,698,3,29-07-2015,1817,Open,Yes,No Holiday,Yes,1790.0,2011.41666667
2928,699,3,29-07-2015,1033,Open,Yes,No Holiday,Yes,180.0,2008.58333333
2929,700,3,29-07-2015,572,Open,Yes,No Holiday,Yes,830.0,2008.58333333
2930,701,3,29-07-2015,697,Open,Yes,No Holiday,No,1450.0,2012.25
2931,702,3,29-07-2015,362,Open,Yes,No Holiday,No,8550.0,2001.75
2932,703,3,29-07-2015,353,Open,Yes,No Holiday,Yes,80.0,2005.5
2933,704,3,29-07-2015,1064,Open,Yes,No Holiday,Yes,1910.0,2009.33333333
2934,705,3,29-07-2015,843,Open,Yes,No Holiday,Yes,4140.0,2012.75
2935,706,3,29-07-2015,530,Open,Yes,No Holiday,No,7830.0,2014.75
2936,707,3,29-07-2015,749,Open,Yes,No Holiday,Yes,2900.0,1990.58333333
2937,708,3,29-07-2015,527,Open,Yes,No Holiday,Yes,11470.0,2009.83333333
2938,709,3,29-07-2015,1326,Open,Yes,No Holiday,Yes,500.0,2011.0
2939,710,3,29-07-2015,390,Open,Yes,No Holiday,No,1500.0,2008.75
2940,711,3,29-07-2015,470,Open,Yes,No Holiday,No,17110.0,2007.25
2941,712,3,29-07-2015,579,Open,Yes,No Holiday,No,4870.0,2007.75
2942,713,3,29-07-2015,1182,Open,Yes,No Holiday,Yes,220.0,2008.58333333
2943,714,3,29-07-2015,388,Open,Yes,No Holiday,No,12070.0,2005.83333333
2944,715,3,29-07-2015,848,Open,Yes,No Holiday,Yes,14810.0,2014.5
2945,716,3,29-07-2015,445,Open,Yes,No Holiday,No,3200.0,2008.08333333
2946,717,3,29-07-2015,559,Open,Yes,No Holiday,Yes,310.0,2008.58333333
2947,718,3,29-07-2015,780,Open,Yes,No Holiday,Yes,1100.0,2015.5
2948,719,3,29-07-2015,493,Open,Yes,No Holiday,No,8190.0,2008.58333333
2949,720,3,29-07-2015,769,Open,Yes,No Holiday,Yes,15320.0,2011.25
2950,721,3,29-07-2015,676,Open,Yes,No Holiday,Yes,3590.0,2012.75
2951,722,3,29-07-2015,1251,Open,Yes,No Holiday,Yes,50.0,2008.58333333
2952,723,3,29-07-2015,658,Open,Yes,No Holiday,Yes,5650.0,2008.75
2953,724,3,29-07-2015,607,Open,Yes,No Holiday,Yes,5900.0,2008.58333333
2954,725,3,29-07-2015,546,Open,Yes,No Holiday,Yes,17540.0,2012.5
2955,726,3,29-07-2015,1032,Open,Yes,No Holiday,Yes,40540.0,2002.16666667
2956,727,3,29-07-2015,459,Open,Yes,No Holiday,Yes,2050.0,2007.25
2957,728,3,29-07-2015,448,Open,Yes,No Holiday,No,13990.0,2008.58333333
2958,729,3,29-07-2015,1016,Open,Yes,No Holiday,Yes,8980.0,2011.5
2959,730,3,29-07-2015,900,Open,Yes,No Holiday,Yes,1190.0,2013.75
2960,731,3,29-07-2015,923,Open,Yes,No Holiday,Yes,15270.0,2008.58333333
2961,732,3,29-07-2015,1167,Open,Yes,No Holiday,Yes,35280.0,2008.58333333
2962,733,3,29-07-2015,3184,Open,Yes,No Holiday,Yes,860.0,1999.83333333
2963,734,3,29-07-2015,439,Open,Yes,No Holiday,Yes,220.0,2008.58333333
2964,735,3,29-07-2015,537,Open,Yes,No Holiday,Yes,1920.0,2005.33333333
2965,736,3,29-07-2015,517,Open,Yes,No Holiday,No,1650.0,2008.58333333
2966,737,3,29-07-2015,719,Open,Yes,No Holiday,Yes,100.0,2007.41666667
2967,738,3,29-07-2015,619,Open,Yes,No Holiday,Yes,5980.0,2005.83333333
2968,739,3,29-07-2015,818,Open,Yes,No Holiday,No,2770.0,2008.5
2969,740,3,29-07-2015,567,Open,Yes,No Holiday,Yes,6400.0,2014.25
2970,741,3,29-07-2015,887,Open,Yes,No Holiday,Yes,11900.0,2008.58333333
2971,742,3,29-07-2015,808,Open,Yes,No Holiday,Yes,4380.0,2008.58333333
2972,743,3,29-07-2015,452,Open,Yes,No Holiday,Yes,6710.0,2003.91666667
2973,744,3,29-07-2015,844,Open,Yes,No Holiday,No,1370.0,2012.0
2974,745,3,29-07-2015,843,Open,Yes,No Holiday,Yes,17650.0,2013.91666667
2975,746,3,29-07-2015,560,Open,Yes,No Holiday,Yes,4330.0,2011.16666667
2976,747,3,29-07-2015,675,Open,Yes,No Holiday,Yes,45740.0,2008.66666667
2977,748,3,29-07-2015,441,Open,Yes,No Holiday,Yes,2380.0,2010.25
2978,749,3,29-07-2015,548,Open,Yes,No Holiday,Yes,3410.0,2011.66666667
2979,750,3,29-07-2015,407,Open,Yes,No Holiday,No,8670.0,2002.16666667
2980,751,3,29-07-2015,485,Open,Yes,No Holiday,Yes,650.0,2006.83333333
2981,752,3,29-07-2015,430,Open,Yes,No Holiday,Yes,970.0,2013.25
2982,753,3,29-07-2015,669,Open,Yes,No Holiday,Yes,540.0,2012.91666667
2983,754,3,29-07-2015,855,Open,Yes,No Holiday,Yes,380.0,2008.41666667
2984,755,3,29-07-2015,833,Open,Yes,No Holiday,Yes,13130.0,2004.0
2985,756,3,29-07-2015,2162,Open,Yes,No Holiday,Yes,50.0,2008.58333333
2986,757,3,29-07-2015,635,Open,Yes,No Holiday,No,3450.0,2008.58333333
2987,758,3,29-07-2015,638,Open,Yes,No Holiday,No,19780.0,2008.5
2988,759,3,29-07-2015,776,Open,Yes,No Holiday,Yes,110.0,2012.91666667
2989,760,3,29-07-2015,1247,Open,Yes,No Holiday,Yes,560.0,2011.08333333
2990,761,3,29-07-2015,947,Open,Yes,No Holiday,Yes,2390.0,2012.75
2991,762,3,29-07-2015,464,Open,Yes,No Holiday,No,1280.0,2008.58333333
2992,763,3,29-07-2015,560,Open,Yes,No Holiday,Yes,32240.0,2010.25
2993,764,3,29-07-2015,453,Open,Yes,No Holiday,Yes,26490.0,2008.58333333
2994,765,3,29-07-2015,775,Open,Yes,No Holiday,No,25430.0,1999.41666667
2995,766,3,29-07-2015,658,Open,Yes,No Holiday,No,9820.0,2008.58333333
2996,767,3,29-07-2015,491,Open,Yes,No Holiday,Yes,13080.0,2008.58333333
2997,768,3,29-07-2015,1312,Open,Yes,No Holiday,Yes,2630.0,2012.75
2998,769,3,29-07-2015,2892,Open,Yes,No Holiday,Yes,840.0,2008.58333333
2999,770,3,29-07-2015,517,Open,Yes,No Holiday,Yes,100.0,2015.33333333
3000,771,3,29-07-2015,774,Open,Yes,No Holiday,No,20640.0,2007.75
3001,772,3,29-07-2015,496,Open,Yes,No Holiday,Yes,1850.0,2008.58333333
3002,773,3,29-07-2015,753,Open,Yes,No Holiday,Yes,200.0,2008.58333333
3003,774,3,29-07-2015,619,Open,Yes,No Holiday,Yes,640.0,2013.75
3004,775,3,29-07-2015,577,Open,Yes,No Holiday,No,6970.0,2006.0
3005,776,3,29-07-2015,554,Open,Yes,No Holiday,Yes,700.0,2009.33333333
3006,777,3,29-07-2015,379,Open,Yes,No Holiday,No,8250.0,2004.83333333
3007,778,3,29-07-2015,796,Open,Yes,No Holiday,No,340.0,2003.5
3008,779,3,29-07-2015,684,Open,Yes,No Holiday,Yes,16990.0,2004.33333333
3009,780,3,29-07-2015,775,Open,Yes,No Holiday,Yes,18160.0,2008.58333333
3010,781,3,29-07-2015,652,Open,Yes,No Holiday,Yes,630.0,2007.33333333
3011,782,3,29-07-2015,507,Open,Yes,No Holiday,Yes,5390.0,2003.66666667
3012,783,3,29-07-2015,621,Open,Yes,No Holiday,Yes,15490.0,2008.58333333
3013,784,3,29-07-2015,667,Open,Yes,No Holiday,Yes,560.0,2014.83333333
3014,785,3,29-07-2015,579,Open,Yes,No Holiday,Yes,970.0,2005.58333333
3015,786,3,29-07-2015,469,Open,Yes,No Holiday,Yes,290.0,2006.91666667
3016,787,3,29-07-2015,1100,Open,Yes,No Holiday,Yes,3210.0,2009.5
3017,788,3,29-07-2015,1572,Open,Yes,No Holiday,Yes,1530.0,2013.25
3018,789,3,29-07-2015,489,Open,Yes,No Holiday,No,9770.0,2003.58333333
3019,790,3,29-07-2015,630,Open,Yes,No Holiday,Yes,9070.0,2004.0
3020,791,3,29-07-2015,744,Open,Yes,No Holiday,Yes,5950.0,2007.33333333
3021,792,3,29-07-2015,669,Open,Yes,No Holiday,Yes,17280.0,2009.83333333
3022,793,3,29-07-2015,485,Open,Yes,No Holiday,Yes,2710.0,2006.58333333
3023,794,3,29-07-2015,510,Open,Yes,No Holiday,Yes,5090.0,2006.75
3024,795,3,29-07-2015,498,Open,Yes,No Holiday,Yes,510.0,2008.58333333
3025,796,3,29-07-2015,664,Open,Yes,No Holiday,Yes,7180.0,2012.91666667
3026,797,3,29-07-2015,458,Open,Yes,No Holiday,No,2090.0,2012.83333333
3027,798,3,29-07-2015,900,Open,Yes,No Holiday,Yes,9560.0,2001.33333333
3028,799,3,29-07-2015,828,Open,Yes,No Holiday,Yes,2700.0,2008.58333333
3029,800,3,29-07-2015,427,Open,Yes,No Holiday,Yes,2020.0,2014.58333333
3030,801,3,29-07-2015,576,Open,Yes,No Holiday,Yes,48330.0,2013.33333333
3031,802,3,29-07-2015,483,Open,Yes,No Holiday,Yes,910.0,2008.58333333
3032,803,3,29-07-2015,487,Open,Yes,No Holiday,Yes,1760.0,2008.58333333
3033,804,3,29-07-2015,488,Open,Yes,No Holiday,No,2100.0,2008.58333333
3034,805,3,29-07-2015,551,Open,Yes,No Holiday,No,24770.0,2011.83333333
3035,806,3,29-07-2015,612,Open,Yes,No Holiday,No,260.0,2008.58333333
3036,807,3,29-07-2015,964,Open,Yes,No Holiday,Yes,3870.0,2008.33333333
3037,808,3,29-07-2015,619,Open,Yes,No Holiday,Yes,18620.0,2008.58333333
3038,809,3,29-07-2015,817,Open,Yes,No Holiday,Yes,12770.0,2000.83333333
3039,810,3,29-07-2015,486,Open,Yes,No Holiday,Yes,9640.0,2013.91666667
3040,811,3,29-07-2015,701,Open,Yes,No Holiday,Yes,410.0,2012.75
3041,812,3,29-07-2015,764,Open,Yes,No Holiday,Yes,2590.0,2012.75
3042,813,3,29-07-2015,672,Open,Yes,No Holiday,No,1560.0,2003.75
3043,814,3,29-07-2015,667,Open,Yes,No Holiday,Yes,24530.0,2013.58333333
3044,815,3,29-07-2015,583,Open,Yes,No Holiday,No,590.0,1900.08333333
3045,816,3,29-07-2015,621,Open,Yes,No Holiday,Yes,460.0,2008.58333333
3046,817,3,29-07-2015,2872,Open,Yes,No Holiday,Yes,140.0,2006.25
3047,818,3,29-07-2015,579,Open,Yes,No Holiday,Yes,490.0,2008.58333333
3048,819,3,29-07-2015,570,Open,Yes,No Holiday,Yes,720.0,2014.83333333
3049,820,3,29-07-2015,1063,Open,Yes,No Holiday,No,1650.0,2008.58333333
3050,821,3,29-07-2015,802,Open,Yes,No Holiday,Yes,1700.0,2009.75
3051,822,3,29-07-2015,663,Open,Yes,No Holiday,Yes,410.0,2010.91666667
3052,823,3,29-07-2015,576,Open,Yes,No Holiday,Yes,16210.0,2010.91666667
3053,824,3,29-07-2015,866,Open,Yes,No Holiday,Yes,17570.0,2008.58333333
3054,825,3,29-07-2015,598,Open,Yes,No Holiday,No,380.0,2011.41666667
3055,826,3,29-07-2015,699,Open,Yes,No Holiday,Yes,7980.0,2005.5
3056,827,3,29-07-2015,1862,Open,Yes,No Holiday,Yes,250.0,2005.08333333
3057,828,3,29-07-2015,564,Open,Yes,No Holiday,Yes,3290.0,2015.0
3058,829,3,29-07-2015,824,Open,Yes,No Holiday,Yes,110.0,2008.58333333
3059,830,3,29-07-2015,641,Open,Yes,No Holiday,Yes,6320.0,2008.58333333
3060,831,3,29-07-2015,1569,Open,Yes,No Holiday,Yes,800.0,2007.5
3061,832,3,29-07-2015,582,Open,Yes,No Holiday,Yes,5070.0,2008.58333333
3062,833,3,29-07-2015,507,Open,Yes,No Holiday,Yes,3290.0,2000.0
3063,834,3,29-07-2015,657,Open,Yes,No Holiday,Yes,3470.0,2012.25
3064,835,3,29-07-2015,584,Open,Yes,No Holiday,Yes,2890.0,2008.0
3065,836,3,29-07-2015,779,Open,Yes,No Holiday,Yes,2720.0,2012.75
3066,837,3,29-07-2015,453,Open,Yes,No Holiday,Yes,14600.0,2015.33333333
3067,838,3,29-07-2015,849,Open,Yes,No Holiday,Yes,6890.0,2008.58333333
3068,839,3,29-07-2015,559,Open,Yes,No Holiday,Yes,240.0,2015.08333333
3069,840,3,29-07-2015,966,Open,Yes,No Holiday,Yes,1070.0,2009.75
3070,841,3,29-07-2015,435,Open,Yes,No Holiday,Yes,27650.0,2004.66666667
3071,842,3,29-07-2015,1254,Open,Yes,No Holiday,No,1200.0,2007.91666667
3072,843,3,29-07-2015,962,Open,Yes,No Holiday,Yes,60.0,2006.33333333
3073,844,3,29-07-2015,476,Open,Yes,No Holiday,Yes,2030.0,2012.75
3074,845,3,29-07-2015,321,Open,Yes,No Holiday,Yes,7860.0,2005.91666667
3075,846,3,29-07-2015,766,Open,Yes,No Holiday,Yes,8860.0,2004.33333333
3076,847,3,29-07-2015,968,Open,Yes,No Holiday,Yes,190.0,2008.58333333
3077,848,3,29-07-2015,904,Open,Yes,No Holiday,No,370.0,2007.58333333
3078,849,3,29-07-2015,874,Open,Yes,No Holiday,Yes,5000.0,2008.58333333
3079,850,3,29-07-2015,545,Open,Yes,No Holiday,Yes,1120.0,2007.41666667
3080,851,3,29-07-2015,456,Open,Yes,No Holiday,No,2330.0,2008.58333333
3081,852,3,29-07-2015,545,Open,Yes,No Holiday,Yes,940.0,2004.33333333
3082,853,3,29-07-2015,1107,Open,Yes,No Holiday,No,14040.0,2008.58333333
3083,854,3,29-07-2015,583,Open,Yes,No Holiday,Yes,4770.0,2008.58333333
3084,855,3,29-07-2015,692,Open,Yes,No Holiday,No,3440.0,2008.58333333
3085,856,3,29-07-2015,971,Open,Yes,No Holiday,Yes,3020.0,2010.16666667
3086,857,3,29-07-2015,964,Open,Yes,No Holiday,Yes,6270.0,2005.66666667
3087,858,3,29-07-2015,455,Open,Yes,No Holiday,No,3370.0,2009.0
3088,859,3,29-07-2015,843,Open,Yes,No Holiday,No,21770.0,2015.58333333
3089,860,3,29-07-2015,730,Open,Yes,No Holiday,Yes,5980.0,2010.16666667
3090,861,3,29-07-2015,620,Open,Yes,No Holiday,Yes,740.0,2008.58333333
3091,862,3,29-07-2015,1036,Open,Yes,No Holiday,Yes,2840.0,2010.25
3092,863,3,29-07-2015,1075,Open,Yes,No Holiday,Yes,21370.0,2010.91666667
3093,864,3,29-07-2015,679,Open,Yes,No Holiday,No,1020.0,2012.83333333
3094,865,3,29-07-2015,588,Open,Yes,No Holiday,Yes,2640.0,2008.58333333
3095,866,3,29-07-2015,514,Open,Yes,No Holiday,Yes,9680.0,2008.58333333
3096,867,3,29-07-2015,501,Open,Yes,No Holiday,Yes,21810.0,2012.75
3097,868,3,29-07-2015,614,Open,Yes,No Holiday,Yes,1360.0,2005.66666667
3098,869,3,29-07-2015,863,Open,Yes,No Holiday,Yes,230.0,2001.83333333
3099,870,3,29-07-2015,903,Open,Yes,No Holiday,Yes,780.0,2009.33333333
3100,871,3,29-07-2015,522,Open,Yes,No Holiday,Yes,10620.0,2008.58333333
3101,872,3,29-07-2015,621,Open,Yes,No Holiday,Yes,3860.0,2014.75
3102,873,3,29-07-2015,421,Open,Yes,No Holiday,Yes,2040.0,2008.91666667
3103,874,3,29-07-2015,450,Open,Yes,No Holiday,Yes,3210.0,2008.58333333
3104,875,3,29-07-2015,415,Open,Yes,No Holiday,Yes,5070.0,2007.91666667
3105,876,3,29-07-2015,0,Close,Yes,No Holiday,Yes,21790.0,2005.33333333
3106,877,3,29-07-2015,1054,Open,Yes,No Holiday,Yes,29190.0,2008.58333333
3107,878,3,29-07-2015,738,Open,Yes,No Holiday,Yes,1100.0,2015.0
3108,879,3,29-07-2015,362,Open,Yes,No Holiday,No,,2008.58333333
3109,880,3,29-07-2015,929,Open,Yes,No Holiday,No,4570.0,2008.58333333
3110,881,3,29-07-2015,615,Open,Yes,No Holiday,Yes,180.0,2008.25
3111,882,3,29-07-2015,716,Open,Yes,No Holiday,Yes,30.0,2013.33333333
3112,883,3,29-07-2015,412,Open,Yes,No Holiday,Yes,3200.0,2005.5
3113,884,3,29-07-2015,656,Open,Yes,No Holiday,No,7550.0,2008.58333333
3114,885,3,29-07-2015,723,Open,Yes,No Holiday,Yes,480.0,2006.0
3115,886,3,29-07-2015,630,Open,Yes,No Holiday,Yes,12430.0,2004.83333333
3116,887,3,29-07-2015,587,Open,Yes,No Holiday,Yes,19700.0,2008.58333333
3117,888,3,29-07-2015,700,Open,Yes,No Holiday,Yes,4450.0,2012.5
3118,889,3,29-07-2015,425,Open,Yes,No Holiday,Yes,18670.0,2006.0
3119,890,3,29-07-2015,462,Open,Yes,No Holiday,No,4450.0,2008.58333333
3120,891,3,29-07-2015,887,Open,Yes,No Holiday,Yes,350.0,2008.58333333
3121,892,3,29-07-2015,720,Open,Yes,No Holiday,Yes,19370.0,2002.33333333
3122,893,3,29-07-2015,839,Open,Yes,No Holiday,No,130.0,2008.58333333
3123,894,3,29-07-2015,999,Open,Yes,No Holiday,Yes,190.0,2012.91666667
3124,895,3,29-07-2015,922,Open,Yes,No Holiday,No,4150.0,2008.58333333
3125,896,3,29-07-2015,1100,Open,Yes,No Holiday,Yes,170.0,2012.75
3126,897,3,29-07-2015,337,Open,Yes,No Holiday,Yes,3290.0,2007.08333333
3127,898,3,29-07-2015,743,Open,Yes,No Holiday,Yes,18540.0,2008.58333333
3128,899,3,29-07-2015,521,Open,Yes,No Holiday,Yes,2590.0,2008.58333333
3129,900,3,29-07-2015,602,Open,Yes,No Holiday,No,3920.0,2005.33333333
3130,901,3,29-07-2015,528,Open,Yes,No Holiday,Yes,3170.0,2014.33333333
3131,902,3,29-07-2015,550,Open,Yes,No Holiday,No,310.0,2015.41666667
3132,903,3,29-07-2015,877,Open,Yes,No Holiday,No,7290.0,2014.75
3133,904,3,29-07-2015,481,Open,Yes,No Holiday,No,570.0,2013.58333333
3134,905,3,29-07-2015,1012,Open,Yes,No Holiday,Yes,90.0,2014.5
3135,906,3,29-07-2015,1147,Open,Yes,No Holiday,Yes,90.0,2010.58333333
3136,907,3,29-07-2015,817,Open,Yes,No Holiday,Yes,250.0,2008.58333333
